Date,BTC
1/1/16,433.82
1/2/16,433.55
1/3/16,431.04
1/4/16,434.17
1/5/16,432.43
1/6/16,429.56
1/7/16,457
1/8/16,452.7
1/9/16,448.84
1/10/16,448.79
1/11/16,448
1/12/16,434.85
1/13/16,432.64
1/14/16,429.55
1/15/16,360
1/16/16,386.91
1/17/16,380.16
1/18/16,385.49
1/19/16,376.76
1/20/16,416.32
1/21/16,409.59
1/22/16,382.55
1/23/16,386.4
1/24/16,402.16
1/25/16,390.9
1/26/16,391.77
1/27/16,394.95
1/28/16,379.75
1/29/16,378.22
1/30/16,375.64
1/31/16,368.49
2/1/16,371.81
2/2/16,373.05
2/3/16,368.38
2/4/16,387.82
2/5/16,385
2/6/16,375.39
2/7/16,375
2/8/16,370.91
2/9/16,373.2
2/10/16,379.66
2/11/16,377.98
2/12/16,383.27
2/13/16,390.99
2/14/16,405
2/15/16,399.28
2/16/16,407.51
2/17/16,415.54
2/18/16,421.18
2/19/16,419.54
2/20/16,434.63
2/21/16,438.5
2/22/16,438.27
2/23/16,419.1
2/24/16,423.78
2/25/16,423.51
2/26/16,432
2/27/16,431.07
2/28/16,431.68
2/29/16,435.23
3/1/16,432.5
3/2/16,423.45
3/3/16,420.29
3/4/16,408.01
3/5/16,399.83
3/6/16,406.23
3/7/16,414.01
3/8/16,411.75
3/9/16,413
3/10/16,416
3/11/16,419.13
3/12/16,410.9
3/13/16,413.04
3/14/16,414.99
3/15/16,415.85
3/16/16,416.57
3/17/16,418.49
3/18/16,407.91
3/19/16,409.04
3/20/16,411.28
3/21/16,411.67
3/22/16,416.64
3/23/16,417.62
3/24/16,415.17
3/25/16,415.7
3/26/16,416.96
3/27/16,424.77
3/28/16,422.87
3/29/16,415.95
3/30/16,413.74
3/31/16,414.66
4/1/16,416.31
4/2/16,419
4/3/16,419.11
4/4/16,418.75
4/5/16,422.71
4/6/16,421.03
4/7/16,420
4/8/16,417.75
4/9/16,418.24
4/10/16,420.04
4/11/16,422.69
4/12/16,425.54
4/13/16,423.93
4/14/16,424.86
4/15/16,429.45
4/16/16,430.69
4/17/16,427.42
4/18/16,428.14
4/19/16,435.63
4/20/16,442.13
4/21/16,451
4/22/16,447.7
4/23/16,451.92
4/24/16,460.02
4/25/16,462.33
4/26/16,467.42
4/27/16,445.38
4/28/16,449.14
4/29/16,456.53
4/30/16,448.37
5/1/16,453
5/2/16,444.06
5/3/16,450.61
5/4/16,446.63
5/5/16,448.5
5/6/16,458.48
5/7/16,458.07
5/8/16,458.21
5/9/16,460.82
5/10/16,451.62
5/11/16,452.91
5/12/16,455.2
5/13/16,455.91
5/14/16,455.57
5/15/16,457.56
5/16/16,454
5/17/16,453.08
5/18/16,452.92
5/19/16,436.3
5/20/16,442.72
5/21/16,443.31
5/22/16,438.8
5/23/16,442.99
5/24/16,443.97
5/25/16,448.7
5/26/16,452.07
5/27/16,472.05
5/28/16,519.41
5/29/16,517.84
5/30/16,527.64
5/31/16,531.84
6/1/16,536.95
6/2/16,538
6/3/16,569.94
6/4/16,573.8
6/5/16,573.91
6/6/16,584.5
6/7/16,577.54
6/8/16,583.03
6/9/16,575.01
6/10/16,578.01
6/11/16,610
6/12/16,672.13
6/13/16,704.49
6/14/16,685.25
6/15/16,695
6/16/16,766.62
6/17/16,745.22
6/18/16,754.83
6/19/16,761.44
6/20/16,730.85
6/21/16,667.54
6/22/16,601.3
6/23/16,624.91
6/24/16,661.71
6/25/16,659.86
6/26/16,630.16
6/27/16,657.5
6/28/16,646.08
6/29/16,634.11
6/30/16,667.95
7/1/16,674.86
7/2/16,702.48
7/3/16,658.27
7/4/16,680.35
7/5/16,668.94
7/6/16,674.7
7/7/16,638.19
7/8/16,663
7/9/16,647.78
7/10/16,648.76
7/11/16,649.32
7/12/16,663.52
7/13/16,655.06
7/14/16,659.1
7/15/16,664.6
7/16/16,662.45
7/17/16,679.54
7/18/16,672.1
7/19/16,673.48
7/20/16,667.03
7/21/16,663.99
7/22/16,649.95
7/23/16,655.52
7/24/16,661.47
7/25/16,654.96
7/26/16,651.24
7/27/16,653.48
7/28/16,653.07
7/29/16,654.61
7/30/16,654.67
7/31/16,623.83
8/1/16,606.35
8/2/16,540
8/3/16,563.42
8/4/16,576.13
8/5/16,572.5
8/6/16,589.48
8/7/16,592.47
8/8/16,591.88
8/9/16,582.75
8/10/16,590.27
8/11/16,585.22
8/12/16,585.91
8/13/16,583.52
8/14/16,568.76
8/15/16,565.55
8/16/16,574.99
8/17/16,570.91
8/18/16,571.49
8/19/16,572.91
8/20/16,577.88
8/21/16,577.55
8/22/16,582.78
8/23/16,580.23
8/24/16,577.58
8/25/16,575.71
8/26/16,578.78
8/27/16,568.31
8/28/16,573.2
8/29/16,571.5
8/30/16,575.91
8/31/16,570.75
9/1/16,571.05
9/2/16,572
9/3/16,595.01
9/4/16,603.72
9/5/16,603.48
9/6/16,608.16
9/7/16,615.16
9/8/16,625.67
9/9/16,622.01
9/10/16,621.65
9/11/16,606.32
9/12/16,608.04
9/13/16,607.46
9/14/16,608.5
9/15/16,606.71
9/16/16,605.69
9/17/16,604.1
9/18/16,608
9/19/16,608.72
9/20/16,600.94
9/21/16,595.46
9/22/16,595.41
9/23/16,601.42
9/24/16,599.33
9/25/16,598.98
9/26/16,606.47
9/27/16,604.26
9/28/16,603.95
9/29/16,605.6
9/30/16,608.23
10/1/16,612.98
10/2/16,608.6
10/3/16,611.16
10/4/16,607.19
10/5/16,608.49
10/6/16,610.25
10/7/16,614.88
10/8/16,614.34
10/9/16,613.06
10/10/16,616
10/11/16,639
10/12/16,634.5
10/13/16,634.02
10/14/16,638.2
10/15/16,635.96
10/16/16,638.97
10/17/16,636.91
10/18/16,635.95
10/19/16,627.98
10/20/16,628.89
10/21/16,629
10/22/16,654.52
10/23/16,648.74
10/24/16,648.6
10/25/16,651.97
10/26/16,675.11
10/27/16,684.71
10/28/16,685.91
10/29/16,711.13
10/30/16,697.23
10/31/16,697.01
11/1/16,726.6
11/2/16,742
11/3/16,685.22
11/4/16,702.7
11/5/16,703.46
11/6/16,709.93
11/7/16,702.86
11/8/16,709.31
11/9/16,721.5
11/10/16,714.47
11/11/16,716.39
11/12/16,702.28
11/13/16,700.38
11/14/16,703.82
11/15/16,711.06
11/16/16,739.71
11/17/16,735.24
11/18/16,748.98
11/19/16,750.75
11/20/16,727.09
11/21/16,736.76
11/22/16,749.22
11/23/16,740.18
11/24/16,735.63
11/25/16,737.07
11/26/16,729.91
11/27/16,727.32
11/28/16,729.54
11/29/16,730.76
11/30/16,742.06
12/1/16,751.54
12/2/16,769.99
12/3/16,760.75
12/4/16,762
12/5/16,750.24
12/6/16,758.98
12/7/16,763.99
12/8/16,766.84
12/9/16,769.57
12/10/16,772.28
12/11/16,768.97
12/12/16,776.9
12/13/16,775.35
12/14/16,777.09
12/15/16,775.89
12/16/16,781.32
12/17/16,788.52
12/18/16,788.67
12/19/16,791
12/20/16,798.65
12/21/16,832.75
12/22/16,859.96
12/23/16,914
12/24/16,892.61
12/25/16,890.67
12/26/16,897.1
12/27/16,930.34
12/28/16,976.47
12/29/16,969.58
12/30/16,959.54
12/31/16,966.3
1/1/17,997.75
1/2/17,1012.54
1/3/17,1035.24
1/4/17,1114.92
1/5/17,1004.74
1/6/17,893.89
1/7/17,906.2
1/8/17,909.75
1/9/17,896.23
1/10/17,905.05
1/11/17,778.62
1/12/17,807.47
1/13/17,825.86
1/14/17,818.27
1/15/17,821.86
1/16/17,831.81
1/17/17,905.99
1/18/17,887.7
1/19/17,901.01
1/20/17,895.8
1/21/17,921.98
1/22/17,923.76
1/23/17,913.52
1/24/17,885.47
1/25/17,893.43
1/26/17,914.83
1/27/17,918.02
1/28/17,918.6
1/29/17,912.01
1/30/17,919.99
1/31/17,963.99
2/1/17,983.67
2/2/17,1009.17
2/3/17,1016.99
2/4/17,1033.18
2/5/17,1011.07
2/6/17,1023.99
2/7/17,1052.48
2/8/17,1050.4
2/9/17,986
2/10/17,996.08
2/11/17,1012.4
2/12/17,1000.73
2/13/17,1000.79
2/14/17,1008.88
2/15/17,1011.53
2/16/17,1032.7
2/17/17,1055.46
2/18/17,1056.4
2/19/17,1051.8
2/20/17,1084
2/21/17,1124.62
2/22/17,1130.01
2/23/17,1188.11
2/24/17,1180.14
2/25/17,1152.2
2/26/17,1179.05
2/27/17,1194.64
2/28/17,1191.21
3/1/17,1226.39
3/2/17,1257.6
3/3/17,1285.33
3/4/17,1260
3/5/17,1273
3/6/17,1278.49
3/7/17,1233.05
3/8/17,1150.05
3/9/17,1190.89
3/10/17,1116.97
3/11/17,1176.55
3/12/17,1226.62
3/13/17,1242.46
3/14/17,1245.75
3/15/17,1257.32
3/16/17,1172.62
3/17/17,1071.02
3/18/17,969.4
3/19/17,1017.97
3/20/17,1035.96
3/21/17,1114.39
3/22/17,1037.56
3/23/17,1029.65
3/24/17,929.06
3/25/17,956.02
3/26/17,960
3/27/17,1039.92
3/28/17,1043.99
3/29/17,1035.96
3/30/17,1033.7
3/31/17,1070.31
4/1/17,1083.94
4/2/17,1078.01
4/3/17,1144.77
4/4/17,1143
4/5/17,1134.58
4/6/17,1190.85
4/7/17,1190.66
4/8/17,1184.03
4/9/17,1206.2
4/10/17,1209.25
4/11/17,1218.99
4/12/17,1212.17
4/13/17,1172.91
4/14/17,1170.34
4/15/17,1173.45
4/16/17,1162.31
4/17/17,1176.54
4/18/17,1202.58
4/19/17,1203.98
4/20/17,1234.19
4/21/17,1243.61
4/22/17,1233.2
4/23/17,1241.99
4/24/17,1253.58
4/25/17,1269
4/26/17,1287.99
4/27/17,1331.53
4/28/17,1330.7
4/29/17,1333
4/30/17,1350.21
5/1/17,1390.86
5/2/17,1447.75
5/3/17,1503.22
5/4/17,1537.23
5/5/17,1514.9
5/6/17,1558.02
5/7/17,1554.01
5/8/17,1649.54
5/9/17,1720.28
5/10/17,1772.58
5/11/17,1828.45
5/12/17,1691.51
5/13/17,1776.89
5/14/17,1784
5/15/17,1705.48
5/16/17,1700.01
5/17/17,1782.99
5/18/17,1878.99
5/19/17,1958
5/20/17,2013.99
5/21/17,2017.55
5/22/17,2099.97
5/23/17,2264.23
5/24/17,2420.29
5/25/17,2292.53
5/26/17,2279.82
5/27/17,2042
5/28/17,2178.81
5/29/17,2292.1
5/30/17,2203.53
5/31/17,2298.01
6/1/17,2413.63
6/2/17,2488.94
6/3/17,2540.94
6/4/17,2529.82
6/5/17,2698
6/6/17,2880.74
6/7/17,2683.03
6/8/17,2806
6/9/17,2822.32
6/10/17,2899.99
6/11/17,2954.22
6/12/17,2667.06
6/13/17,2703.02
6/14/17,2450
6/15/17,2424.91
6/16/17,2484.68
6/17/17,2630.03
6/18/17,2516.98
6/19/17,2598
6/20/17,2740
6/21/17,2657.04
6/22/17,2713.48
6/23/17,2685.05
6/24/17,2557.66
6/25/17,2502.03
6/26/17,2421.22
6/27/17,2565
6/28/17,2559.9
6/29/17,2541.59
6/30/17,2465.49
7/1/17,2412.41
7/2/17,2504.37
7/3/17,2550.47
7/4/17,2596.12
7/5/17,2602.9
7/6/17,2600.39
7/7/17,2501.46
7/8/17,2550.07
7/9/17,2502.28
7/10/17,2323.45
7/11/17,2305.98
7/12/17,2388
7/13/17,2339.99
7/14/17,2213.37
7/15/17,1970.51
7/16/17,1917.63
7/17/17,2226
7/18/17,2303.71
7/19/17,2265.21
7/20/17,2875.03
7/21/17,2670
7/22/17,2832.71
7/23/17,2749.02
7/24/17,2759.98
7/25/17,2564.82
7/26/17,2524.99
7/27/17,2666.33
7/28/17,2777.01
7/29/17,2680.56
7/30/17,2742.75
7/31/17,2855.81
8/1/17,2731
8/2/17,2703.51
8/3/17,2793.37
8/4/17,2855
8/5/17,3263.62
8/6/17,3222.75
8/7/17,3387.54
8/8/17,3412.41
8/9/17,3342.99
8/10/17,3413.03
8/11/17,3645.06
8/12/17,3855.1
8/13/17,4053.87
8/14/17,4306.23
8/15/17,4155.67
8/16/17,4378.84
8/17/17,4276.5
8/18/17,4100
8/19/17,4099.55
8/20/17,4058.68
8/21/17,3987.52
8/22/17,4085
8/23/17,4115.14
8/24/17,4300.34
8/25/17,4355.98
8/26/17,4333.38
8/27/17,4337.68
8/28/17,4379.99
8/29/17,4578.82
8/30/17,4573.2
8/31/17,4734.26
9/1/17,4921.7
9/2/17,4599.9
9/3/17,4606.26
9/4/17,4277
9/5/17,4396.52
9/6/17,4605.8
9/7/17,4615
9/8/17,4312
9/9/17,4308.72
9/10/17,4226.22
9/11/17,4207.31
9/12/17,4172.56
9/13/17,3865.34
9/14/17,3227.79
9/15/17,3700.01
9/16/17,3678.93
9/17/17,3662.99
9/18/17,4101.6
9/19/17,3888.8
9/20/17,3874.46
9/21/17,3617.05
9/22/17,3612.18
9/23/17,3779.17
9/24/17,3664.22
9/25/17,3918
9/26/17,3888.03
9/27/17,4199.29
9/28/17,4184.84
9/29/17,4164.82
9/30/17,4326.09
10/1/17,4377.22
10/2/17,4391.48
10/3/17,4315.83
10/4/17,4219.53
10/5/17,4301.09
10/6/17,4362.95
10/7/17,4423.3
10/8/17,4597.98
10/9/17,4764.7
10/10/17,4749.29
10/11/17,4822.01
10/12/17,5445
10/13/17,5653.6
10/14/17,5801.29
10/15/17,5679.7
10/16/17,5745.72
10/17/17,5597.31
10/18/17,5582.05
10/19/17,5698.69
10/20/17,5977.29
10/21/17,6013.46
10/22/17,5969
10/23/17,5871.17
10/24/17,5523.4
10/25/17,5735.88
10/26/17,5890
10/27/17,5771.89
10/28/17,5730.69
10/29/17,6137.37
10/30/17,6119.99
10/31/17,6434.21
11/1/17,6741.59
11/2/17,7030
11/3/17,7146.82
11/4/17,7388.83
11/5/17,7372.72
11/6/17,6967.68
11/7/17,7130.28
11/8/17,7450.32
11/9/17,7148
11/10/17,6588.18
11/11/17,6355.13
11/12/17,5870.37
11/13/17,6525.17
11/14/17,6609
11/15/17,7294
11/16/17,7846.96
11/17/17,7674.99
11/18/17,7771.03
11/19/17,8016.58
11/20/17,8226.17
11/21/17,8095.23
11/22/17,8214.69
11/23/17,7989
11/24/17,8199.19
11/25/17,8717.99
11/26/17,9271.06
11/27/17,9708.07
11/28/17,9868.82
11/29/17,9824.68
11/30/17,9947.67
12/1/17,10840.45
12/2/17,10872
12/3/17,11250
12/4/17,11613.07
12/5/17,11677
12/6/17,13623.5
12/7/17,16599.99
12/8/17,15800
12/9/17,14607.49
12/10/17,14691
12/11/17,16470
12/12/17,16650.01
12/13/17,16250
12/14/17,16404.99
12/15/17,17471.5
12/16/17,19187.78
12/17/17,18953
12/18/17,18940.57
12/19/17,17700
12/20/17,16466.98
12/21/17,15600.01
12/22/17,14009.79
12/23/17,14619
12/24/17,14157.87
12/25/17,13911.28
12/26/17,15764.44
12/27/17,15364.93
12/28/17,14470.07
12/29/17,14340
12/30/17,12640
12/31/17,13880
1/1/18,13443.41
1/2/18,14678.94
1/3/18,15155.62
1/4/18,15143.67
1/5/18,16928
1/6/18,17149.67
1/7/18,16124.02
1/8/18,14999.99
1/9/18,14403.51
1/10/18,14890.02
1/11/18,13243.83
1/12/18,13781.41
1/13/18,14197.78
1/14/18,13647.99
1/15/18,13607.04
1/16/18,11386.34
1/17/18,11191.35
1/18/18,11247.57
1/19/18,11552
1/20/18,12775.99
1/21/18,11558.87
1/22/18,10808.99
1/23/18,10851.82
1/24/18,11400.96
1/25/18,11155.54
1/26/18,11092.95
1/27/18,11446.54
1/28/18,11685.58
1/29/18,11162.62
1/30/18,9971
1/31/18,10149
2/1/18,8998.99
2/2/18,8838.83
2/3/18,9225.86
2/4/18,8191
2/5/18,6874.27
2/6/18,7737.37
2/7/18,7588.01
2/8/18,8259.76
2/9/18,8693.98
2/10/18,8560
2/11/18,8067
2/12/18,8899
2/13/18,8522.99
2/14/18,9490.98
2/15/18,10018
2/16/18,10196
2/17/18,11101
2/18/18,10421.06
2/19/18,11173
2/20/18,11233.41
2/21/18,10449.4
2/22/18,9843.34
2/23/18,10166.1
2/24/18,9689.99
2/25/18,9590.04
2/26/18,10324.7
2/27/18,10566.3
2/28/18,10314.9
3/1/18,10903.13
3/2/18,11029.99
3/3/18,11445
3/4/18,11463.27
3/5/18,11419.24
3/6/18,10723.76
3/7/18,9913.03
3/8/18,9285.32
3/9/18,9230
3/10/18,8791.47
3/11/18,9535.04
3/12/18,9120.75
3/13/18,9142.32
3/14/18,8196.69
3/15/18,8265.05
3/16/18,8258.54
3/17/18,7860.83
3/18/18,8188.24
3/19/18,8596.93
3/20/18,8904.02
3/21/18,8893.79
3/22/18,8704.67
3/23/18,8920.79
3/24/18,8547
3/25/18,8453.9
3/26/18,8149.66
3/27/18,7791.7
3/28/18,7932.41
3/29/18,7088.38
3/30/18,6850
3/31/18,6928.62
4/1/18,6813.52
4/2/18,7052.76
4/3/18,7416.27
4/4/18,6799.95
4/5/18,6771.69
4/6/18,6618.33
4/7/18,6904.9
4/8/18,7027.26
4/9/18,6780.1
4/10/18,6835.67
4/11/18,6940.94
4/12/18,7923.78
4/13/18,7896.92
4/14/18,8000.41
4/15/18,8354.22
4/16/18,8048.15
4/17/18,7890.87
4/18/18,8172.84
4/19/18,8271.31
4/20/18,8861
4/21/18,8920.71
4/22/18,8789.96
4/23/18,8946.95
4/24/18,9648
4/25/18,8864.99
4/26/18,9274.48
4/27/18,8921.43
4/28/18,9345.11
4/29/18,9393.99
4/30/18,9242.17
5/1/18,9066.9
5/2/18,9222
5/3/18,9732.43
5/4/18,9696.57
5/5/18,9823.28
5/6/18,9623.54
5/7/18,9359.52
5/8/18,9167.69
5/9/18,9308.49
5/10/18,9020.99
5/11/18,8411.42
5/12/18,8481.6
5/13/18,8696.58
5/14/18,8674.36
5/15/18,8474.99
5/16/18,8346.59
5/17/18,8067.03
5/18/18,8248.87
5/19/18,8231.2
5/20/18,8518.48
5/21/18,8391.76
5/22/18,7984.08
5/23/18,7502.89
5/24/18,7586.88
5/25/18,7471.18
5/26/18,7335.99
5/27/18,7347.39
5/28/18,7112.5
5/29/18,7469.45
5/30/18,7375.73
5/31/18,7492.28
6/1/18,7511.6
6/2/18,7642
6/3/18,7703.67
6/4/18,7488.26
6/5/18,7617.98
6/6/18,7658.57
6/7/18,7689.28
6/8/18,7618.11
6/9/18,7492.7
6/10/18,6781.17
6/11/18,6880.61
6/12/18,6557.67
6/13/18,6307.4
6/14/18,6646.1
6/15/18,6390.6
6/16/18,6487.92
6/17/18,6453.41
6/18/18,6707.5
6/19/18,6736.52
6/20/18,6756.58
6/21/18,6718.33
6/22/18,6050.45
6/23/18,6177.38
6/24/18,6153.4
6/25/18,6253.61
6/26/18,6068
6/27/18,6135.64
6/28/18,5848.33
6/29/18,6204.24
6/30/18,6385.71
7/1/18,6349.99
7/2/18,6612.98
7/3/18,6507.99
7/4/18,6584.25
7/5/18,6533.69
7/6/18,6596.53
7/7/18,6759.99
7/8/18,6706.6
7/9/18,6666.75
7/10/18,6299.46
7/11/18,6380
7/12/18,6243.88
7/13/18,6215.59
7/14/18,6243.98
7/15/18,6349.3
7/16/18,6721.04
7/17/18,7310.71
7/18/18,7374.88
7/19/18,7471.42
7/20/18,7330.84
7/21/18,7409.92
7/22/18,7396.6
7/23/18,7719.62
7/24/18,8403.83
7/25/18,8174.06
7/26/18,7926
7/27/18,8183.05
7/28/18,8237.74
7/29/18,8216.74
7/30/18,8160.21
7/31/18,7725.43
8/1/18,7602.01
8/2/18,7536.37
8/3/18,7416.98
8/4/18,7009.99
8/5/18,7032.61
8/6/18,6936.11
8/7/18,6717.68
8/8/18,6283.59
8/9/18,6543.76
8/10/18,6139.99
8/11/18,6239.98
8/12/18,6310.82
8/13/18,6252.63
8/14/18,6193.62
8/15/18,6272.3
8/16/18,6313.51
8/17/18,6580.15
8/18/18,6399.28
8/19/18,6481.99
8/20/18,6260.82
8/21/18,6479.27
8/22/18,6355.76
8/23/18,6525.01
8/24/18,6692.94
8/25/18,6732.4
8/26/18,6700.46
8/27/18,6904.51
8/28/18,7080.94
8/29/18,7032.96
8/30/18,6984.01
8/31/18,7017.35
9/1/18,7185.01
9/2/18,7290.31
9/3/18,7258.99
9/4/18,7361
9/5/18,6679.3
9/6/18,6493.09
9/7/18,6400
9/8/18,6178.31
9/9/18,6236.04
9/10/18,6301.99
9/11/18,6279.99
9/12/18,6322.45
9/13/18,6485.7
9/14/18,6476.51
9/15/18,6520.15
9/16/18,6499.98
9/17/18,6254.52
9/18/18,6332.34
9/19/18,6388.4
9/20/18,6492.98
9/21/18,6749.45
9/22/18,6710.01
9/23/18,6702.22
9/24/18,6581.52
9/25/18,6428.99
9/26/18,6461.51
9/27/18,6681.62
9/28/18,6610.76
